,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,REGION_RATING_CLIENT_W_CITY,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_2,EXT_SOURCE_3,AGE,CREDIT_INCOME_PERCENT
2238,225000.0,1736937.0,47893.5,1552500.0,9364,4802.0,302,3,0,0,0,0.7074613311384683,0.5832379256761245,47.5,7.71972
2299,157500.0,2085120.0,72607.5,1800000.0,4610,3926.0,4942,3,0,0,0,0.2439513511763448,0.7862666146611379,37.5,13.238857142857142
2314,261000.0,1762110.0,50629.5,1575000.0,401,6026.0,4771,2,0,1,1,0.5480601320633717,0.5762088360175724,42.5,6.751379310344827
2320,315000.0,1971072.0,68643.0,1800000.0,4138,2680.0,2352,2,0,0,0,0.5230558209908184,0.3927738606031339,52.5,6.257371428571428
2351,180000.0,1762110.0,48586.5,1575000.0,7055,793.0,3789,1,0,0,0,0.7453591335260555,0.6674577419214722,57.5,9.7895
2353,135000.0,1971072.0,68512.5,1800000.0,3641,6961.0,4258,3,0,0,0,0.3588501985361047,0.7062051096536562,37.5,14.600533333333331
2392,292500.0,1984500.0,52479.0,1984500.0,1188,2330.0,1251,2,0,0,0,0.6420181745993799,0.746300213050371,47.5,6.7846153846153845
2423,324000.0,1711764.0,47200.5,1530000.0,1583,7617.0,4402,2,0,0,0,0.7315078558912134,0.4902575124990026,37.5,5.283222222222222
2434,256500.0,1724688.0,60079.5,1575000.0,923,3690.0,3583,1,0,0,0,0.7272953960403495,0.213966852261798,57.5,6.723929824561403
2447,157500.0,1886850.0,51885.0,1575000.0,4063,8532.0,3997,2,0,1,1,0.5844731686445248,0.6940926425266661,42.5,11.98
2454,292500.0,2250000.0,83385.0,2250000.0,1355,7979.0,3528,2,0,1,1,0.7325245211015442,0.7700870700124128,52.5,7.6923076923076925
2457,450000.0,1795500.0,49374.0,1795500.0,2734,183.0,717,2,0,1,1,0.7233264152673139,0.3606125659189888,57.5,3.99
2477,405000.0,2517300.0,69354.0,2250000.0,1564,49.0,1920,2,0,0,0,0.4325602634947701,0.2750003523983893,52.5,6.215555555555556
2506,382500.0,1971072.0,68643.0,1800000.0,10347,2421.0,1596,2,0,1,1,0.6415405786108015,0.4276573700350293,47.5,5.153129411764706
2548,270000.0,1824480.0,57415.5,1575000.0,2174,4581.0,4435,1,0,0,0,0.6211914775671671,0.7151031019926098,57.5,6.757333333333333
2733,148500.0,1886850.0,49905.0,1575000.0,346,5736.0,23,1,0,0,0,0.7996827887853672,0.5316861425197883,47.5,12.706060606060609
2777,292500.0,1724688.0,60079.5,1575000.0,1461,867.0,4339,2,0,0,0,0.6246073000870292,0.3859146722745145,32.5,5.89636923076923
2815,225000.0,2013840.0,55507.5,1800000.0,3810,2796.0,4161,2,0,0,0,0.6283223347739818,0.2525986978339766,42.5,8.9504
2837,292500.0,1575000.0,43312.5,1575000.0,920,1690.0,1907,1,0,0,0,0.5693746738997837,0.4668640059537032,27.5,5.384615384615385
2844,360000.0,1800000.0,66838.5,1800000.0,3661,979.0,4646,2,0,0,0,0.5124474323952152,0.6127042441012546,32.5,5.0
2862,450000.0,1612422.0,149211.0,1575000.0,5210,926.0,4241,2,0,0,0,0.6855297817537651,0.7106743858828587,42.5,3.58316
2870,315000.0,1575000.0,43443.0,1575000.0,2337,1557.0,4532,2,0,0,0,0.7106911823942312,0.5744466170995097,42.5,5.0
2891,180000.0,1777212.0,49000.5,1588500.0,669,5609.0,4210,2,0,0,0,0.5866966802527507,0.7421816117614419,32.5,9.8734
2967,162000.0,2013840.0,53122.5,1800000.0,598,4700.0,808,2,0,0,0,0.7422547130775807,0.6446794549585961,47.5,12.431111111111113
3003,360000.0,1897461.0,66082.5,1638000.0,5496,2176.0,3395,2,0,0,0,0.6501930508718695,0.7898803468924867,37.5,5.270725
3052,391500.0,1724688.0,54283.5,1575000.0,8472,5664.0,4464,3,0,0,0,0.163943945497664,0.6041125998015721,42.5,4.405333333333333
3062,342000.0,2074257.0,57042.0,1854000.0,6621,9455.0,4079,1,0,1,1,0.7818282882147148,0.1556893746835917,62.5,6.065078947368421
3075,270000.0,1800000.0,52632.0,1800000.0,2495,6404.0,3979,2,0,0,0,0.1548483364575313,0.6347055309763198,57.5,6.666666666666667
3079,315000.0,1575000.0,43443.0,1575000.0,2708,3952.0,2821,2,0,1,1,0.6691155227422523,0.5172965813614878,27.5,5.0
3168,270000.0,2517300.0,69354.0,2250000.0,3641,5385.0,4734,1,0,0,0,0.482826189120507,0.8214433128935934,42.5,9.323333333333334
3253,157500.0,1575000.0,43312.5,1575000.0,4558,7926.0,4284,2,0,0,0,0.6851761103436554,0.6313545365850379,37.5,10.0
3288,180000.0,1575000.0,64147.5,1575000.0,84,5451.0,915,2,1,1,0,0.660353406215452,0.475849908720221,27.5,8.75
3336,315000.0,1800000.0,49500.0,1800000.0,5244,1241.0,1294,2,0,0,0,0.6163839602411829,0.4866531565147181,47.5,5.714285714285714
3341,247500.0,2025000.0,101250.0,2025000.0,2641,6568.0,2455,2,0,0,0,0.7922684156980944,0.2721336844147212,32.5,8.181818181818182
3361,180000.0,1800000.0,98640.0,1800000.0,2938,4971.0,2452,1,0,1,1,0.7279844570594195,0.6706517530862718,27.5,10.0
3362,405000.0,1631133.0,107050.5,1575000.0,95,5911.0,3962,2,0,1,1,0.5461582882196786,0.8435435389318647,32.5,4.027488888888889
3389,153000.0,1575000.0,41548.5,1575000.0,7037,4027.0,2154,2,0,0,0,0.3649908503511745,0.5028782772082183,42.5,10.294117647058824
3412,337500.0,2517300.0,66532.5,2250000.0,2983,15295.0,4753,1,0,0,0,0.7271045198703463,0.6144143775673561,62.5,7.458666666666667
3442,270000.0,1872517.5,65088.0,1710000.0,747,2385.0,2142,3,0,1,1,0.2214443571374176,0.3893387918468769,27.5,6.93525
3469,292500.0,1762110.0,70015.5,1575000.0,320,2757.0,2340,2,0,0,0,0.5260608044045831,0.3672910183026313,32.5,6.024307692307692
3645,1125000.0,1928304.0,79708.5,1800000.0,383,4745.0,3083,2,0,0,0,0.6289808744948581,0.6817058776720116,27.5,1.714048
3647,270000.0,1575000.0,41548.5,1575000.0,488,5014.0,4752,2,0,1,1,0.555793312449762,0.5531646987710016,42.5,5.833333333333333
3656,360000.0,1800000.0,49630.5,1800000.0,36,10995.0,402,2,0,1,1,0.59379938583912,0.1146524943029705,47.5,5.0
3657,405000.0,1762110.0,48456.0,1575000.0,4544,1509.0,1371,3,0,0,0,0.5584910519326299,0.4223696523543468,37.5,4.350888888888889
3703,414000.0,1800000.0,49630.5,1800000.0,235,5612.0,3938,2,0,0,0,0.1432864612999229,0.6817058776720116,32.5,4.3478260869565215
3752,360000.0,1575000.0,43312.5,1575000.0,261,4704.0,2991,3,0,0,0,0.5247521378857596,0.4543210601605785,32.5,4.375
3838,292500.0,1605312.0,59620.5,1498500.0,1252,8723.0,4545,2,0,0,0,0.7211241575011207,0.6801388218428291,57.5,5.488246153846154
3982,540000.0,2085120.0,72607.5,1800000.0,3155,5697.0,142,1,0,0,0,0.6873982919146984,0.4118485559242397,47.5,3.8613333333333335
4050,166500.0,1575000.0,41548.5,1575000.0,647,6234.0,3006,2,0,0,0,0.7659065619261503,0.5334816299804352,52.5,9.45945945945946
4057,225000.0,1800000.0,49500.0,1800000.0,2206,230.0,4400,2,0,0,0,0.7328671469800313,0.6848276586890367,32.5,8.0
4070,180000.0,1762110.0,48586.5,1575000.0,6678,7322.0,3561,3,0,0,0,0.4255964123158876,0.6144143775673561,57.5,9.7895
4093,1125000.0,2517300.0,72274.5,2250000.0,1351,8.0,3001,1,0,0,0,0.4839456648562873,0.228883416700673,52.5,2.2376
4105,225000.0,1575000.0,41548.5,1575000.0,641,6487.0,3156,1,0,0,0,0.6172367657468744,0.4507472818545589,52.5,7.0
4106,333000.0,1762110.0,48586.5,1575000.0,2658,206.0,3209,2,0,0,0,0.6724861108155682,0.4830501881366946,32.5,5.291621621621622
4116,157500.0,1575000.0,43312.5,1575000.0,2263,6243.0,487,2,0,0,0,0.7314348365948964,0.6006575372857061,47.5,10.0
4161,225000.0,1824480.0,57415.5,1575000.0,700,31.0,2351,2,0,0,0,0.7129475075374108,0.7238369900414456,37.5,8.1088
4166,135000.0,1800000.0,49500.0,1800000.0,7418,7442.0,257,2,0,0,0,0.7155583949121861,0.2276129150623945,47.5,13.333333333333334
4217,315000.0,1971072.0,68643.0,1800000.0,1519,3234.0,3223,1,0,0,0,0.6892700994220439,0.7981372313187245,37.5,6.257371428571428
4257,225000.0,1800000.0,47614.5,1800000.0,4737,2636.0,2854,2,0,1,1,0.6948390563823864,0.6006575372857061,52.5,8.0
4272,900000.0,2517300.0,66532.5,2250000.0,5447,9482.0,4421,2,0,0,0,0.7683597770920019,0.5673792367572691,62.5,2.797
4280,720000.0,1575000.0,43312.5,1575000.0,1748,1286.0,1479,2,0,1,1,0.7865136319382501,0.3062022983135042,32.5,2.1875
4296,292500.0,1800000.0,47614.5,1800000.0,6204,2051.0,4408,1,0,0,0,0.5028555719868506,0.8061492814355136,42.5,6.153846153846154
4322,585000.0,1669500.0,58158.0,1669500.0,582,2425.0,2298,2,0,0,0,0.5410205321415201,0.1997705696341145,27.5,2.853846153846154
4344,135000.0,1787283.0,51354.0,1597500.0,1135,8795.0,4783,2,0,1,1,0.5403905754036414,0.6178261467332483,42.5,13.239133333333331
4384,675000.0,1735474.5,71752.5,1620000.0,2189,410.0,2195,1,0,0,0,0.3168069410349795,0.5937175866150576,42.5,2.571073333333333
4405,247500.0,1983631.5,52456.5,1773000.0,4259,2665.0,4715,2,0,0,0,0.2844268689960537,0.6496203111237195,37.5,8.014672727272727
4424,157500.0,1629000.0,56754.0,1629000.0,3287,6326.0,4813,2,0,0,0,0.5840641747530614,0.4543210601605785,37.5,10.342857142857143
4492,139500.0,2013840.0,53122.5,1800000.0,9627,9349.0,850,3,0,0,0,0.5791686874194762,0.4135967602644276,47.5,14.436129032258064
4499,315000.0,1724220.0,50544.0,1350000.0,1385,6713.0,469,3,0,0,0,0.5363145510360974,0.4329616670974407,47.5,5.473714285714285
4502,315000.0,2695500.0,71235.0,2250000.0,9013,3974.0,4788,2,0,0,0,0.538641231996015,0.8633633824101478,62.5,8.557142857142857
4521,387000.0,1800000.0,74416.5,1800000.0,3864,9247.0,2121,1,0,0,0,0.7538019903637716,0.5136937663039473,52.5,4.651162790697675
4548,180000.0,1971072.0,68643.0,1800000.0,1061,9406.0,2051,2,0,0,0,0.5677761851174277,0.6817058776720116,52.5,10.9504
4557,315000.0,1800000.0,56650.5,1800000.0,4765,6565.0,3677,2,0,1,1,0.5916350361911499,0.2985949897873972,32.5,5.714285714285714
4632,202500.0,1886850.0,52015.5,1575000.0,433,8687.0,3500,2,0,0,0,0.7070493215359145,0.5954562029091491,42.5,9.317777777777778
4637,396000.0,2156400.0,59431.5,1800000.0,1571,322.0,2350,1,0,0,0,0.6207951764869863,0.0890438827498688,42.5,5.445454545454545
4654,292500.0,1800000.0,47614.5,1800000.0,3505,4089.0,3368,2,0,0,0,0.3424757978914082,0.6986675550534175,37.5,6.153846153846154
4666,1235038.5,2254500.0,80275.5,2254500.0,1056,9182.0,5628,1,0,0,0,0.7563578211836252,0.6528965519806539,42.5,1.8254491661595973
4701,148500.0,2013840.0,53122.5,1800000.0,7603,2116.0,4538,3,0,0,0,0.4970224606338079,0.7281412993111438,42.5,13.56121212121212
4765,220500.0,2085120.0,72607.5,1800000.0,6058,10850.0,2525,2,0,0,0,0.6950198596870201,0.5172965813614878,52.5,9.456326530612245
4766,360000.0,2517300.0,72274.5,2250000.0,1554,10456.0,3350,2,0,0,0,0.6529830335120981,0.646329897706246,57.5,6.9925
4815,247500.0,1575000.0,43312.5,1575000.0,256,815.0,996,1,0,0,0,0.6948715126838728,0.3589512285783967,32.5,6.363636363636363
4844,202500.0,1800000.0,62698.5,1800000.0,3679,2563.0,4989,2,0,0,0,0.5564464733641881,0.6528965519806539,37.5,8.88888888888889
4988,1053333.0,3375000.0,85320.0,3375000.0,1505,5300.0,3908,2,1,1,1,0.4637381390866314,0.6263042766749393,32.5,3.2041149380110565
5026,225000.0,1949589.0,67896.0,1683000.0,2608,4348.0,4314,3,1,1,0,0.8102512037036576,0.7366226976503176,32.5,8.66484
5045,427500.0,1800000.0,56520.0,1800000.0,2272,7737.0,3507,1,0,0,0,0.7235495487639542,0.5797274227921155,37.5,4.2105263157894735
5084,225000.0,1762110.0,48456.0,1575000.0,10309,3855.0,4384,2,0,0,0,0.6174795543335986,0.4812493411434029,62.5,7.8316
5131,909000.0,1800000.0,52632.0,1800000.0,2136,4243.0,31,1,0,0,0,0.7521180023739693,0.228883416700673,37.5,1.98019801980198
5206,247500.0,2013840.0,53253.0,1800000.0,943,3647.0,4614,3,0,0,0,0.6938273064524072,0.3842068130556564,37.5,8.136727272727272
5223,360000.0,1762110.0,72850.5,1575000.0,3988,1717.0,5096,1,0,0,0,0.7068907658430509,0.3606125659189888,42.5,4.89475
5226,360000.0,2013840.0,55507.5,1800000.0,3865,1193.0,4160,3,0,1,1,0.5869458770287931,0.7886807751817684,37.5,5.594
5245,900000.0,1871280.0,180576.0,1800000.0,2676,4779.0,442,2,0,0,0,0.5761223789511042,0.4722533429586386,47.5,2.0792
5263,1215000.0,2695500.0,71104.5,2250000.0,1102,7773.0,2743,1,0,0,0,0.8022762983322971,0.5902333386185574,52.5,2.2185185185185183
5291,157500.0,1575000.0,43443.0,1575000.0,4849,10179.0,3041,2,0,0,0,0.4202488136948717,0.5989262182569273,32.5,10.0
5366,135000.0,1800000.0,51718.5,1800000.0,3520,3301.0,1306,2,0,0,0,0.6300009184722721,0.7421816117614419,47.5,13.333333333333334
5386,270000.0,1971072.0,68643.0,1800000.0,1296,4337.0,4956,3,0,0,0,0.4966944598589633,0.3376727217405312,37.5,7.300266666666666
5392,112500.0,1800000.0,47484.0,1800000.0,5037,6744.0,3161,2,0,0,0,0.5353192431475815,0.7352209993926424,52.5,16.0
5434,135000.0,1762110.0,51651.0,1575000.0,711,1517.0,4374,2,0,0,0,0.6793121014629264,0.7700870700124128,37.5,13.052666666666669
5489,202500.0,1575000.0,43443.0,1575000.0,409,2776.0,1124,2,0,1,1,0.3918579699803773,0.4329616670974407,27.5,7.777777777777778
5497,585000.0,1800000.0,62568.0,1800000.0,267,5528.0,4788,2,0,0,0,0.6574291034273035,0.2079641743053816,42.5,3.076923076923077
5516,225000.0,2013840.0,55507.5,1800000.0,5538,6676.0,158,3,0,0,0,0.5689939557973505,0.6413682574954046,47.5,8.9504
5525,211500.0,2517300.0,69354.0,2250000.0,493,175.0,1539,2,0,1,1,0.3133713898530914,0.5531646987710016,57.5,11.902127659574468
5588,270000.0,1687266.0,62658.0,1575000.0,7185,505.0,3323,2,1,1,1,0.7296095891364849,0.5136937663039473,52.5,6.249133333333333
5602,166500.0,1575000.0,43443.0,1575000.0,788,2214.0,2214,1,0,0,0,0.5891760437442923,0.7180328113294772,32.5,9.45945945945946
5627,225000.0,2517300.0,66532.5,2250000.0,5076,4674.0,4434,2,0,0,0,0.7452138407442561,0.5513812618027899,42.5,11.188
5637,180000.0,2517300.0,66532.5,2250000.0,1590,7583.0,183,1,0,0,0,0.7771790998766076,0.4048783643353997,47.5,13.985
5649,225000.0,2250000.0,59485.5,2250000.0,6483,8166.0,1209,1,0,0,0,0.7489983588835353,0.4668640059537032,47.5,10.0
5680,382500.0,2013840.0,59013.0,1800000.0,3003,12.0,2196,2,0,1,1,0.3625716366648183,0.4083588531230431,52.5,5.264941176470588
5683,225000.0,2013840.0,55507.5,1800000.0,4132,1216.0,164,2,0,0,0,0.6689460489647753,0.7295666907060153,47.5,8.9504
5863,427500.0,1711764.0,45283.5,1530000.0,952,1377.0,4830,3,0,0,0,0.7209746124607498,0.4974688893052743,37.5,4.004126315789474
5963,303750.0,3150000.0,113557.5,3150000.0,857,7856.0,5290,1,0,0,0,0.8066788683323349,0.6178261467332483,37.5,10.37037037037037
5970,216000.0,1762110.0,48586.5,1575000.0,2464,6483.0,4427,1,0,1,1,0.6815421987040936,0.5280927512030451,32.5,8.157916666666667
5973,193500.0,1800000.0,62698.5,1800000.0,1261,688.0,2389,1,0,0,0,0.6552341638502733,0.6178261467332483,62.5,9.30232558139535
5981,225000.0,1777563.0,54022.5,1534500.0,4249,7126.0,4159,2,0,0,0,0.5828949845045354,0.5779691187553125,37.5,7.90028
6026,180000.0,1971072.0,68643.0,1800000.0,425,4397.0,4641,2,0,0,0,0.6013087626191647,0.7407990879702335,42.5,10.9504
6034,202500.0,2013840.0,53253.0,1800000.0,1775,6446.0,3383,2,0,0,0,0.460226956730336,0.7597121819739279,57.5,9.944888888888888
6140,378000.0,1800000.0,62698.5,1800000.0,5622,12655.0,2151,1,0,0,0,0.7429443944460664,0.5064842396679806,52.5,4.761904761904762
6283,360000.0,2025000.0,53550.0,2025000.0,1035,5352.0,3563,1,0,0,0,0.7131577993807144,0.3927738606031339,27.5,5.625
6363,337500.0,2091708.0,57649.5,1746000.0,486,6502.0,4494,1,0,0,0,0.4466195790923816,0.8027454758994178,42.5,6.197653333333333
6376,337500.0,1800000.0,47614.5,1800000.0,2975,2236.0,3038,2,0,0,0,0.6967645195090402,0.4223696523543468,42.5,5.333333333333333
6382,225000.0,2250000.0,59485.5,2250000.0,6278,664.0,1253,2,0,0,0,0.6242637044272646,0.5513812618027899,47.5,10.0
6399,225000.0,1928304.0,79578.0,1800000.0,952,9950.0,1026,1,0,0,0,0.7182080339902116,0.5352762504724826,47.5,8.57024
6428,225000.0,1724688.0,60079.5,1575000.0,1753,912.0,3720,3,0,0,0,0.3453425010673334,0.4776491548517548,32.5,7.66528
6447,292050.0,3860019.0,97578.0,3555000.0,1596,6278.0,4883,2,0,1,1,0.5782783482926899,0.5884877883422673,37.5,13.21697996918336
6481,945000.0,2250000.0,112500.0,2250000.0,1999,3228.0,797,3,0,0,0,0.5780810184320359,0.6785676886853644,32.5,2.380952380952381
6559,450000.0,1590849.0,63220.5,1485000.0,3349,7057.0,1906,2,0,0,0,0.4627431049262138,0.4974688893052743,37.5,3.53522
6616,225000.0,1800000.0,62698.5,1800000.0,241,2767.0,2659,2,0,0,0,0.6206098375204324,0.6706517530862718,52.5,8.0
6670,315000.0,1824480.0,55444.5,1575000.0,2047,11388.0,1715,1,0,0,0,0.6566702624445186,0.8327850252992314,47.5,5.792
6713,270000.0,2517300.0,66532.5,2250000.0,2765,5697.0,2422,1,0,0,0,0.7126789160805742,0.6363761710860439,52.5,9.323333333333334
6781,202500.0,1984500.0,52479.0,1984500.0,2316,2218.0,4237,2,0,0,0,0.6598185995959366,0.5673792367572691,32.5,9.8
