,TARGET
1911,0
1912,0
1914,0
1916,0
1917,0
1918,0
1919,0
1922,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1934,0
1937,0
1939,0
1940,0
1941,0
1942,0
1946,0
1947,0
1950,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1961,0
1962,0
1963,0
1966,0
1968,0
1969,0
1970,0
1972,0
1977,0
1979,0
1981,0
1985,0
1987,0
1988,0
1989,0
1993,0
1994,0
1997,0
1998,0
1999,0
2000,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2009,0
2011,0
2013,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0
2026,0
2027,0
2030,0
2031,0
2033,0
2034,0
2038,0
2039,0
2040,0
2041,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2050,0
2051,0
2052,0
2053,0
2058,0
2060,0
2061,0
2062,0
2065,0
2066,0
2067,0
2069,0
2070,0
2074,0
2075,0
2077,0
2078,0
2080,0
2081,0
2082,0
2083,0
2084,0
2088,0
2089,0
2090,0
2092,0
2094,0
2097,0
2099,0
2100,0
2105,0
2107,0
2109,0
2111,0
2114,0
2121,0
2122,0
2123,0
2124,0
2125,0
2128,0
2129,0
2130,0
2131,0
2133,0
2134,0
2135,0
2136,0
2138,0
2140,0
2141,0
2143,0
2144,0
2147,0
2149,0
2150,0
2151,0
2152,0
2154,0
2156,0
2157,0
2158,0
2159,0
2160,0
2164,0
2165,0
2166,0
2167,0
2168,0
2170,0
2171,0
2173,0
2174,0
2175,0
2176,0
2177,0
2178,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,0
2195,0
2199,0
2201,0
2202,0
2203,0
2205,0
2207,0
2208,0
2210,0
2211,0
2212,0
2213,0
2214,0
2216,0
2218,0
2219,0
2221,0
2222,0
2225,0
2226,0
2227,0
2229,0
2230,0
2231,0
2233,0
2234,0
2235,0
2236,0
2238,0
2239,0
2240,0
2242,0
2243,0
2244,0
2248,0
2250,0
2251,0
2253,0
2255,0
2261,0
2263,0
2264,0
2265,0
2267,0
2268,0
2269,0
2270,0
2271,0
2272,0
2275,0
2276,0
2278,0
2279,0
2283,0
2284,0
2286,0
2287,0
2289,0
2293,0
2294,0
2295,0
2298,0
2300,0
2301,0
2302,0
2303,0
2304,0
2305,0
2306,0
2308,0
2309,0
2310,0
2311,0
2312,0
2313,0
2315,0
2316,0
2318,0
2320,0
2321,0
2322,0
2328,0
2329,0
2330,0
2331,0
2333,0
2335,0
2337,0
2341,0
2342,0
2343,0
2344,0
2346,0
2348,0
2350,0
2351,0
2353,0
2354,0
2355,0
2356,0
2357,0
2359,0
2362,0
2363,0
2365,0
2367,0
2368,0
2371,0
2372,0
2376,0
2377,0
2378,0
2380,0
2381,0
2386,0
2389,0
2390,0
2393,0
2394,0
2395,0
2396,0
2397,0
2399,0
2400,0
2401,0
2402,0
2403,0
2409,0
2413,0
2414,0
2415,0
2417,0
2418,0
2419,0
2422,0
2423,0
2427,0
2428,0
2431,0
2434,0
2435,0
2436,0
2438,0
2441,0
2442,0
2443,0
2444,0
2445,0
2447,0
2449,0
2450,0
2452,0
2453,0
2454,0
2455,0
2456,0
2457,0
2458,0
2459,0
2460,0
2461,0
2463,0
2465,0
2466,0
2467,0
2469,0
2471,0
2473,0
2475,0
2476,0
2480,0
2482,0
2483,0
2485,0
2487,0
2490,0
2491,0
2492,0
2496,0
2499,0
2500,0
2501,0
2503,0
2504,0
2505,0
2507,0
2509,0
2510,0
2513,0
2514,0
2517,0
2518,0
2519,0
2525,0
2527,0
2528,0
2531,0
2533,0
2535,0
2536,0
2540,0
2541,0
2542,0
2544,0
2546,0
2547,0
2548,0
2550,0
2551,0
2553,0
2555,0
2558,0
2559,0
2561,0
2564,0
2567,0
2569,0
2570,0
2572,0
2573,0
2574,0
2575,0
2576,0
2578,0
2580,0
2581,0
2583,0
2584,0
2586,0
2587,0
2589,0
2590,0
2591,0
2593,0
2594,0
2596,0
2598,0
2604,0
2606,0
2608,0
2611,0
2612,0
2613,0
2615,0
2616,0
2617,0
2619,0
2622,0
2623,0
2624,0
2626,0
2627,0
2630,0
2631,0
2633,0
2634,0
2637,0
2638,0
2639,0
2640,0
2641,0
2642,0
2643,0
2644,0
2645,0
2648,0
2650,0
2652,0
2653,0
2654,0
2655,0
2656,0
2657,0
2658,0
2660,0
2661,0
2663,0
2664,0
2667,0
2668,0
2669,0
2671,0
2672,0
2673,0
2675,0
2676,0
2680,0
2682,0
2687,0
2688,0
2689,0
2692,0
2693,0
2694,0
2695,0
2697,0
2699,0
2700,0
2701,0
2702,0
2703,0
2704,0
2705,0
2707,0
2708,0
2709,0
2711,0
2712,0
2714,0
2715,0
2717,0
2719,0
2720,0
2721,0
2724,0
2726,0
2728,0
2732,0
2733,0
2734,0
2739,0
2740,0
2742,0
2743,0
2744,0
2745,0
2750,0
2751,0
2753,0
2754,0
2757,0
2760,0
2765,0
2768,0
2774,0
2775,0
2776,0
2777,0
2778,0
2779,0
2780,0
2781,0
2782,0
2783,0
2784,0
2785,0
2787,0
2788,0
2789,0
2791,0
2793,0
2794,0
2795,0
2796,0
2799,0
2800,0
2801,0
2803,0
2805,0
2808,0
2809,0
2811,0
2812,0
2813,0
2814,0
2816,0
2817,0
2820,0
2821,0
2822,0
2824,0
2825,0
2828,0
2831,0
2832,0
2833,0
2834,0
2835,0
2837,0
2838,0
2839,0
2842,0
2843,0
2845,0
2847,0
2852,0
2853,0
2855,0
2858,0
2862,0
2863,0
2865,0
2869,0
2870,0
2871,0
2873,0
2875,0
2877,0
2879,0
2880,0
2883,0
2885,0
2886,0
2887,0
2888,0
2892,0
2893,0
2895,0
2896,0
2897,0
2900,0
2901,0
2904,0
2906,0
2909,0
2911,0
2914,0
2917,0
2919,0
2922,0
2924,0
2925,0
2926,0
2928,0
2929,0
2930,0
2932,0
2933,0
2936,0
2938,0
2941,0
2942,0
2943,0
2945,0
2949,0
2950,0
2952,0
2953,0
2954,0
2957,0
2962,0
2963,0
2964,0
2968,0
2969,0
2970,0
2973,0
2974,0
2975,0
2976,0
2978,0
2979,0
2980,0
2981,0
2982,0
2985,0
2986,0
2988,0
2989,0
2990,0
2993,0
2994,0
2995,0
2997,0
2998,0
3001,0
3005,0
3006,0
3008,0
3010,0
3012,0
3014,0
3015,0
3017,0
3018,0
3020,0
3021,0
3022,0
3024,0
3025,0
3026,0
3027,0
3029,0
3031,0
3032,0
3033,0
3035,0
3037,0
3038,0
3039,0
3041,0
3043,0
3044,0
3046,0
3047,0
3050,0
3058,0
3060,0
3061,0
3064,0
3065,0
3067,0
3068,0
3069,0
3072,0
3073,0
3074,0
3079,0
3080,0
3082,0
3083,0
3085,0
3086,0
3088,0
3091,0
3092,0
3093,0
3094,0
3095,0
3096,0
3098,0
3099,0
3102,0
3106,0
3107,0
3108,0
3109,0
3111,0
3114,0
3115,0
3116,0
3117,0
3119,0
3121,0
3123,0
3124,0
3126,0
3128,0
3129,0
3130,0
3132,0
3133,0
3134,0
3135,0
3136,0
3137,0
3143,0
3145,0
3147,0
3150,0
3151,0
3152,0
3153,0
3158,0
3159,0
3162,0
3164,0
3168,0
3169,0
3172,0
3174,0
3175,0
3176,0
3177,0
3178,0
3180,0
3181,0
3182,0
3183,0
3184,0
3186,0
3187,0
3189,0
3191,0
3192,0
3194,0
3195,0
3197,0
3198,0
3199,0
3200,0
3205,0
3206,0
3208,0
3209,0
3210,0
3211,0
3214,0
3217,0
3218,0
3219,0
3220,0
3222,0
3223,0
3224,0
3225,0
3226,0
3227,0
3228,0
3229,0
3230,0
3231,0
3232,0
3233,0
3234,0
3236,0
3240,0
3243,0
3244,0
3245,0
3246,0
3247,0
3248,0
3249,0
3251,0
3252,0
3255,0
3257,0
3258,0
3260,0
3261,0
3262,0
3263,0
3269,0
3270,0
3271,0
3274,0
3275,0
3276,0
3280,0
3281,0
3283,0
3286,0
3287,0
3289,0
3291,0
3293,0
3294,0
3295,0
3299,0
3300,0
3302,0
3303,0
3304,0
3305,0
3306,0
3307,0
3308,0
3311,0
3312,0
3314,0
3315,0
3316,0
3317,0
3318,0
3319,0
3320,0
3321,0
3323,0
3324,0
3325,0
3328,0
3329,0
3330,0
3333,0
3335,0
3337,0
3338,0
3339,0
3343,0
3344,0
3345,0
3346,0
3347,0
3349,0
3352,0
3353,0
3355,0
3356,0
3359,0
3360,0
3362,0
3365,0
3366,0
3368,0
3369,0
3371,0
3374,0
3376,0
3377,0
3378,0
3379,0
3380,0
3381,0
3382,0
3383,0
3384,0
3385,0
3386,0
3389,0
3390,0
3391,0
3392,0
3394,0
3396,0
3397,0
3399,0
3400,0
3401,0
3402,0
3403,0
3404,0
3405,0
3409,0
3413,0
3414,0
3416,0
3417,0
3419,0
3421,0
3423,0
3424,0
3427,0
3428,0
3429,0
3432,0
3433,0
3434,0
3435,0
3436,0
3437,0
3438,0
3439,0
3440,0
3443,0
3444,0
3445,0
3446,0
3447,0
3450,0
3451,0
3453,0
3455,0
3457,0
3460,0
3461,0
3464,0
3465,0
3466,0
3469,0
3472,0
3474,0
3478,0
3479,0
3480,0
3484,0
3486,0
3487,0
3489,0
3491,0
3493,0
3494,0
3495,0
3496,0
3501,0
3504,0
3506,0
3507,0
3508,0
3510,0
3511,0
3512,0
3513,0
3514,0
3515,0
3522,0
3523,0
3524,0
3526,0
3528,0
3529,0
3532,0
3533,0
3534,0
3535,0
3536,0
3537,0
3540,0
3542,0
3543,0
3544,0
3549,0
3550,0
3552,0
3553,0
3554,0
3555,0
3556,0
3558,0
3559,0
3562,0
3563,0
3565,0
3566,0
3568,0
3571,0
3572,0
3573,0
3575,0
3577,0
3579,0
3580,0
3581,0
3582,0
3583,0
3585,0
3586,0
3591,0
3592,0
3594,0
3595,0
3601,0
3602,0
3603,0
3610,0
3611,0
3612,0
3614,0
3615,0
3616,0
3617,0
3621,0
3622,0
3623,0
3624,0
3625,0
3628,0
3630,0
3631,0
3634,0
3635,0
3636,0
3638,0
3639,0
3640,0
3642,0
3643,0
3644,0
3645,0
3646,0
3647,0
3648,0
3649,0
3651,0
3652,0
3653,0
3656,0
3657,0
3658,0
3660,0
3661,0
3662,0
3664,0
3666,0
3667,0
3668,0
3669,0
3670,0
3671,0
3672,0
3674,0
3676,0
3678,0
3679,0
3681,0
3684,0
3685,0
3686,0
3687,0
3688,0
3689,0
3690,0
3692,0
3694,0
3695,0
3696,0
3698,0
3700,0
3701,0
3702,0
3707,0
3709,0
3710,0
3711,0
3712,0
3713,0
3714,0
3715,0
3716,0
3721,0
3724,0
3725,0
3726,0
3727,0
3728,0
3729,0
3731,0
3734,0
3735,0
3736,0
3737,0
3743,0
3744,0
3745,0
3747,0
3748,0
3749,0
3750,0
3752,0
3755,0
3759,0
3760,0
3761,0
3762,0
3764,0
3765,0
3766,0
3767,0
3768,0
3769,0
3770,0
3771,0
3772,0
3773,0
3775,0
3777,0
3778,0
3779,0
3780,0
3781,0
3782,0
3783,0
3784,0
3785,0
3787,0
3788,0
3792,0
3794,0
3795,0
3796,0
3799,0
3800,0
3802,0
3803,0
3805,0
3806,0
3808,0
3810,0
3811,0
3813,0
3814,0
3816,0
3818,0
3821,0
3822,0
3823,0
3825,0
3826,0
3829,0
3830,0
3832,0
3833,0
3837,0
3839,0
3840,0
3841,0
3843,0
3844,0
3845,0
3846,0
3847,0
3848,0
3849,0
3850,0
3852,0
3855,0
3856,0
3857,0
3858,0
3864,0
3866,0
3870,0
3871,0
3872,0
3873,0
3874,0
3875,0
3876,0
3877,0
3879,0
3880,0
3882,0
3885,0
3886,0
3889,0
3891,0
3892,0
3894,0
3895,0
3896,0
3899,0
3900,0
3901,0
3902,0
3904,0
3905,0
3909,0
3911,0
3912,0
3913,0
3915,0
3916,0
3917,0
3918,0
3920,0
3921,0
3923,0
3924,0
3926,0
3930,0
3931,0
3933,0
3935,0
3939,0
3945,0
3946,0
3948,0
3950,0
3951,0
3952,0
3953,0
3955,0
3956,0
3957,0
3958,0
3961,0
3963,0
3964,0
3965,0
3967,0
3970,0
3971,0
3972,0
3973,0
3974,0
3975,0
3976,0
3977,0
3978,0
3979,0
3982,0
3984,0
3987,0
3988,0
3989,0
3990,0
3991,0
3992,0
3993,0
3994,0
3995,0
3996,0
3997,0
3998,0
4004,0
4009,0
4010,0
4014,0
4016,0
4017,0
4018,0
4019,0
4020,0
4022,0
4024,0
4027,0
4028,0
4030,0
4031,0
4032,0
4035,0
4037,0
4038,0
4039,0
4040,0
4042,0
4043,0
4044,0
4045,0
4046,0
4047,0
4048,0
4049,0
4050,0
4051,0
4052,0
4059,0
4060,0
4061,0
4063,0
4064,0
4065,0
4066,0
4067,0
4070,0
4072,0
4073,0
4075,0
4078,0
4079,0
4080,0
4081,0
4082,0
4085,0
4086,0
4088,0
4089,0
4090,0
4091,0
4092,0
4093,0
4094,0
4095,0
4096,0
4097,0
4102,0
4104,0
4106,0
4107,0
4108,0
4109,0
4110,0
4113,0
4114,0
4116,0
4117,0
4118,0
4120,0
4121,0
4122,0
4123,0
4124,0
4125,0
4128,0
4129,0
4131,0
4133,0
4135,0
4136,0
4137,0
4141,0
4143,0
4146,0
4147,0
4148,0
4149,0
4151,0
4154,0
4155,0
4157,0
4158,0
4160,0
4161,0
4162,0
4164,0
4168,0
4170,0
4171,0
4172,0
4175,0
4177,0
4179,0
4182,0
4183,0
4184,0
4185,0
4186,0
4187,0
4188,0
4189,0
4190,0
4191,0
4192,0
4194,0
4195,0
4197,0
4198,0
4199,0
4201,0
4204,0
4205,0
4206,0
4207,0
4208,0
4211,0
4213,0
4214,0
4215,0
4216,0
4218,0
4219,0
4221,0
4223,0
4224,0
4226,0
4227,0
4229,0
4230,0
4231,0
4232,0
4233,0
4236,0
4237,0
4238,0
4241,0
4243,0
4244,0
4245,0
4246,0
4251,0
4252,0
4253,0
4254,0
4255,0
4257,0
4258,0
4259,0
4260,0
4261,0
4262,0
4263,0
4265,0
4266,0
4268,0
4269,0
4270,0
4273,0
4275,0
4277,0
4278,0
4279,0
4280,0
4283,0
4284,0
4287,0
4289,0
4290,0
4291,0
4292,0
4293,0
4294,0
4295,0
4296,0
4298,0
4299,0
4300,0
4301,0
4302,0
4303,0
4304,0
4307,0
4311,0
4313,0
4314,0
4315,0
4317,0
4319,0
4322,0
4323,0
4324,0
4325,0
4326,0
4327,0
4328,0
4330,0
4331,0
4332,0
4333,0
4334,0
4336,0
4338,0
4339,0
4340,0
4341,0
4350,0
4352,0
4353,0
4354,0
4355,0
4356,0
4358,0
4359,0
4360,0
4361,0
4363,0
4369,0
4370,0
4371,0
4373,0
4375,0
4377,0
4378,0
4379,0
4380,0
4381,0
4382,0
4384,0
4385,0
4387,0
4388,0
4389,0
4390,0
4393,0
4394,0
4396,0
4398,0
4400,0
4401,0
4403,0
4404,0
4406,0
4407,0
4408,0
4409,0
4412,0
4413,0
4414,0
4415,0
4416,0
4417,0
4418,0
4422,0
4425,0
4427,0
4428,0
4429,0
4430,0
4431,0
4433,0
4434,0
4437,0
4438,0
4439,0
4440,0
4442,0
4443,0
4445,0
4451,0
4452,0
4453,0
4454,0
4455,0
4456,0
4457,0
4459,0
4460,0
4461,0
4462,0
4467,0
4468,0
4469,0
4470,0
4471,0
4472,0
4474,0
4476,0
4478,0
4479,0
4480,0
4481,0
4482,0
4484,0
4486,0
4487,0
4488,0
4489,0
4490,0
4491,0
4492,0
4493,0
4494,0
4496,0
4498,0
4500,0
4503,0
4505,0
4506,0
4507,0
4508,0
4509,0
4511,0
4512,0
4513,0
4515,0
4517,0
4518,0
4520,0
4521,0
4522,0
4523,0
4524,0
4525,0
4526,0
4527,0
4528,0
4529,0
4530,0
4531,0
4532,0
4533,0
4535,0
4536,0
4537,0
4540,0
4542,0
4543,0
4544,0
4545,0
4546,0
4547,0
4548,0
4550,0
4552,0
4553,0
4554,0
4555,0
4557,0
4558,0
4559,0
4563,0
4565,0
4566,0
4569,0
4570,0
4571,0
4572,0
4573,0
4574,0
4575,0
4576,0
4577,0
4578,0
4581,0
4584,0
4585,0
4587,0
4588,0
4590,0
4591,0
4592,0
4593,0
4594,0
4595,0
4597,0
4599,0
4601,0
4603,0
4604,0
4606,0
4608,0
4609,0
4611,0
4612,0
4613,0
4614,0
4615,0
4616,0
4617,0
4619,0
4620,0
4623,0
4626,0
4628,0
4629,0
4633,0
4634,0
4635,0
4638,0
4639,0
4640,0
4642,0
4643,0
4644,0
4645,0
4646,0
4647,0
4648,0
4649,0
4650,0
4651,0
4652,0
4654,0
4658,0
4661,0
4663,0
4664,0
4666,0
4668,0
4669,0
4670,0
4672,0
4673,0
4674,0
4677,0
4678,0
4680,0
4683,0
4685,0
4687,0
4688,0
4689,0
4690,0
4691,0
4692,0
4693,0
4694,0
4695,0
4698,0
4699,0
4700,0
4702,0
4703,0
4704,0
4705,0
4706,0
4707,0
4708,0
4709,0
4710,0
4712,0
4713,0
4714,0
4715,0
4721,0
4722,0
4725,0
4726,0
4727,0
4728,0
4729,0
4730,0
4731,0
4732,0
4734,0
4736,0
4737,0
4738,0
4739,0
4743,0
4750,0
4751,0
4752,0
4753,0
4754,0
4755,0
4757,0
4758,0
4759,0
4760,0
4762,0
4763,0
4765,0
4766,0
4767,0
4768,0
4769,0
4771,0
4772,0
4774,0
4775,0
4776,0
4777,0
4779,0
4780,0
4781,0
4783,0
4784,0
4785,0
4786,0
4787,0
4791,0
4792,0
4793,0
4794,0
