,0
813,1
814,0
815,1
816,1
817,1
818,1
819,0
820,1
821,1
822,0
823,0
824,0
825,1
826,1
827,1
828,0
829,0
830,0
831,1
832,1
833,1
834,0
835,0
836,0
837,0
838,0
839,0
840,1
841,0
842,1
843,1
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,1
852,0
853,0
854,0
855,1
856,1
857,1
858,1
859,0
860,1
861,0
862,0
863,0
864,0
865,1
866,0
867,1
868,1
869,0
870,1
871,1
872,1
873,0
874,1
875,1
876,1
877,0
878,1
879,1
880,0
881,0
882,1
883,1
884,1
885,1
886,0
887,0
888,0
889,1
890,1
891,0
892,0
893,0
894,1
895,0
896,0
897,0
898,1
899,0
900,0
901,1
902,0
903,1
904,1
905,0
906,0
907,1
908,1
909,1
910,0
911,1
912,0
913,0
914,1
915,0
916,0
917,1
918,0
919,0
920,1
921,1
922,1
923,1
924,0
925,0
926,0
927,0
928,0
929,1
930,1
931,0
932,0
933,1
934,1
935,0
936,0
937,1
938,0
939,0
940,1
941,0
942,0
943,1
944,0
945,1
946,1
947,1
948,0
949,0
950,1
951,1
952,1
953,1
954,1
955,0
956,0
957,0
958,1
959,0
960,1
961,1
962,0
963,0
964,0
965,0
966,1
967,1
968,0
969,1
970,1
971,0
972,0
973,0
974,1
975,1
976,1
977,0
978,1
979,0
980,0
981,1
982,0
983,0
984,1
985,0
986,1
987,0
988,1
989,1
990,0
991,0
992,1
993,1
994,1
995,0
996,0
997,0
998,1
999,1
1000,0
1001,0
1002,1
1003,0
1004,1
1005,0
1006,0
1007,1
1008,0
1009,0
1010,0
1011,1
1012,1
1013,0
1014,0
1015,0
1016,1
1017,0
1018,1
1019,0
1020,0
1021,1
1022,1
1023,0
1024,1
1025,1
1026,1
1027,0
1028,1
1029,0
1030,1
1031,1
1032,1
1033,1
1034,0
1035,1
1036,0
1037,0
1038,0
1039,0
1040,1
1041,0
1042,0
1043,1
1044,0
1045,0
1046,1
1047,1
1048,1
1049,0
1050,0
1051,1
1052,0
1053,1
1054,0
1055,0
1056,0
1057,1
1058,1
1059,0
1060,1
1061,1
1062,0
1063,1
1064,0
1065,1
1066,1
1067,0
1068,0
1069,1
1070,0
1071,1
1072,1
1073,1
1074,0
1075,1
1076,1
1077,0
1078,0
1079,0
1080,0
1081,1
1082,0
1083,0
1084,0
1085,0
1086,1
1087,1
1088,1
1089,0
1090,0
1091,1
1092,1
1093,0
1094,0
1095,0
1096,0
1097,1
1098,1
1099,0
1100,1
1101,0
1102,0
1103,1
1104,1
1105,0
1106,0
1107,1
1108,0
1109,0
1110,1
1111,1
1112,1
1113,0
1114,0
1115,1
1116,0
1117,1
1118,1
1119,0
1120,0
1121,0
1122,0
1123,1
1124,0
1125,1
1126,1
1127,1
1128,1
1129,1
1130,1
1131,0
1132,0
1133,0
1134,1
1135,0
1136,1
1137,0
1138,0
1139,1
1140,0
1141,0
1142,0
1143,1
1144,0
1145,1
1146,1
1147,0
1148,1
1149,0
1150,1
1151,0
1152,0
1153,1
1154,1
1155,1
1156,1
1157,1
1158,1
1159,1
1160,0
1161,0
1162,1
1163,1
1164,1
1165,1
1166,0
1167,1
1168,0
1169,1
1170,0
1171,1
1172,1
1173,0
1174,0
1175,1
1176,0
1177,1
1178,0
1179,0
1180,0
1181,1
1182,0
1183,1
1184,0
1185,1
1186,0
1187,0
1188,1
1189,0
1190,0
1191,1
1192,0
1193,1
1194,0
1195,1
1196,1
1197,0
1198,0
1199,1
1200,1
1201,0
1202,0
1203,0
1204,0
1205,1
1206,1
1207,0
1208,1
1209,1
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,1
1217,1
1218,0
1219,0
1220,0
1221,1
1222,0
1223,1
1224,1
1225,1
1226,1
1227,0
1228,1
1229,1
1230,1
1231,1
1232,1
1233,1
1234,0
1235,1
1236,1
1237,0
1238,1
1239,1
1240,1
1241,0
1242,0
1243,1
1244,0
1245,1
1246,1
1247,1
1248,0
1249,0
1250,0
1251,0
1252,1
1253,1
1254,0
1255,0
1256,1
1257,0
1258,1
1259,0
1260,0
1261,1
1262,1
1263,1
1264,1
1265,0
1266,0
1267,0
1268,1
1269,0
1270,0
1271,0
1272,1
1273,1
1274,1
1275,0
1276,1
1277,1
1278,1
1279,1
1280,0
1281,0
1282,1
1283,1
1284,1
1285,1
1286,1
1287,1
1288,1
1289,0
1290,0
1291,1
1292,1
1293,1
1294,0
1295,1
1296,0
1297,1
1298,1
1299,0
1300,1
1301,0
1302,0
1303,1
1304,1
1305,0
1306,0
1307,0
1308,1
1309,1
1310,0
1311,1
1312,0
1313,0
1314,1
1315,1
1316,0
1317,1
1318,0
1319,1
1320,1
1321,0
1322,0
1323,1
1324,0
1325,1
1326,0
1327,1
1328,0
1329,0
1330,0
1331,0
1332,1
1333,1
1334,1
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,1
1342,0
1343,1
1344,1
1345,0
1346,0
1347,0
1348,0
1349,0
1350,1
1351,0
1352,0
1353,1
1354,0
1355,1
1356,0
1357,1
1358,0
1359,1
1360,1
1361,0
1362,1
1363,0
1364,0
1365,1
1366,0
1367,1
1368,1
1369,1
1370,1
1371,1
1372,0
1373,0
1374,0
1375,1
1376,1
1377,0
1378,0
1379,1
1380,1
1381,0
1382,0
1383,0
1384,0
1385,1
1386,0
1387,0
1388,0
1389,0
1390,1
1391,1
1392,1
1393,1
1394,1
1395,0
1396,1
1397,1
1398,0
1399,0
1400,0
1401,1
1402,0
1403,0
1404,1
1405,1
1406,0
1407,0
1408,0
1409,0
1410,0
1411,1
1412,1
1413,0
1414,1
1415,0
1416,1
1417,1
1418,1
1419,0
1420,0
1421,0
1422,1
1423,0
1424,1
1425,0
1426,1
1427,1
1428,0
1429,1
1430,1
1431,1
1432,1
1433,0
1434,0
1435,0
1436,0
1437,1
1438,1
1439,0
1440,0
1441,1
1442,0
1443,1
1444,0
1445,0
1446,0
1447,0
1448,1
1449,0
1450,1
1451,0
1452,0
1453,0
1454,0
1455,0
1456,0
1457,1
1458,0
1459,0
1460,1
1461,1
1462,1
1463,0
1464,0
1465,1
1466,0
1467,0
1468,1
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,1
1476,1
1477,1
1478,0
1479,1
1480,1
1481,0
1482,0
1483,1
1484,0
1485,1
1486,0
1487,0
1488,1
1489,0
1490,1
1491,1
1492,0
1493,1
1494,0
1495,1
1496,1
1497,0
1498,1
1499,1
1500,0
1501,1
1502,1
1503,1
1504,0
1505,1
1506,0
1507,1
1508,1
1509,1
1510,1
1511,1
1512,0
1513,0
1514,0
1515,1
1516,1
1517,1
1518,0
1519,1
1520,0
1521,0
1522,0
1523,0
1524,1
1525,1
1526,0
1527,0
1528,0
1529,0
1530,1
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,1
1540,1
1541,1
1542,1
1543,0
1544,1
1545,1
1546,0
1547,1
1548,1
1549,1
1550,0
1551,1
1552,1
1553,1
1554,0
1555,1
1556,0
1557,1
1558,0
1559,1
1560,1
1561,1
1562,1
1563,1
1564,1
1565,0
1566,0
1567,0
1568,1
1569,0
1570,1
1571,1
1572,0
1573,0
1574,0
1575,0
1576,1
1577,1
1578,0
1579,1
1580,1
1581,1
1582,0
1583,0
1584,0
1585,1
1586,1
1587,1
1588,1
1589,1
1590,0
1591,1
1592,0
1593,1
1594,1
1595,1
1596,1
1597,1
1598,0
1599,1
1600,1
1601,1
1602,1
1603,1
1604,0
1605,1
1606,0
1607,1
1608,0
1609,1
1610,1
1611,1
1612,1
1613,0
1614,0
1615,1
1616,1
1617,1
1618,1
1619,1
1620,0
1621,1
1622,0
1623,0
1624,1
1625,0
1626,1
1627,1
1628,0
1629,0
1630,1
1631,1
1632,0
1633,1
1634,1
1635,0
1636,0
1637,0
1638,1
1639,0
1640,0
1641,1
1642,0
1643,0
1644,0
1645,0
1646,0
1647,1
1648,0
1649,0
1650,1
1651,0
1652,1
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,1
1660,0
1661,0
1662,1
1663,0
1664,0
1665,0
1666,0
1667,1
1668,1
1669,0
1670,0
1671,1
1672,1
1673,1
1674,0
1675,1
1676,0
1677,1
1678,0
1679,1
1680,0
1681,0
1682,1
1683,1
1684,0
1685,0
1686,1
1687,0
1688,1
1689,1
1690,0
1691,0
1692,0
1693,1
1694,0
1695,0
1696,1
1697,0
1698,0
1699,1
1700,1
1701,0
1702,0
1703,0
1704,1
1705,1
1706,0
1707,1
1708,0
1709,0
1710,0
1711,1
1712,0
1713,0
1714,1
1715,1
1716,1
1717,1
1718,1
1719,1
1720,0
1721,0
1722,1
1723,0
1724,1
1725,1
1726,1
1727,0
1728,1
1729,1
1730,1
1731,1
1732,1
1733,0
1734,1
1735,0
1736,0
1737,0
1738,0
1739,1
1740,0
1741,0
1742,0
1743,0
1744,0
1745,1
1746,0
1747,1
1748,0
1749,1
1750,0
1751,0
1752,1
1753,0
1754,1
1755,0
1756,1
1757,0
1758,0
1759,0
1760,1
1761,1
1762,0
1763,0
1764,1
1765,1
1766,0
1767,1
1768,0
1769,0
1770,0
1771,0
1772,1
1773,1
1774,0
1775,1
1776,1
1777,1
1778,0
1779,1
1780,1
1781,0
1782,0
1783,1
1784,0
1785,0
1786,0
1787,1
1788,1
1789,0
1790,1
1791,1
1792,1
1793,0
1794,0
1795,0
1796,0
1797,1
1798,1
1799,0
1800,1
1801,0
1802,1
1803,0
1804,0
1805,0
1806,0
1807,1
1808,0
1809,0
1810,0
1811,1
1812,0
1813,1
1814,0
1815,0
1816,1
1817,1
1818,0
1819,1
1820,0
1821,1
1822,0
1823,1
1824,0
1825,1
1826,1
1827,1
1828,1
1829,0
1830,0
1831,1
1832,0
1833,1
1834,1
1835,1
1836,1
1837,1
1838,0
1839,0
1840,0
1841,1
1842,0
1843,1
1844,1
1845,0
1846,1
1847,0
1848,0
1849,1
1850,0
1851,1
1852,0
1853,0
1854,1
1855,0
1856,1
1857,1
1858,1
1859,0
1860,1
1861,0
1862,1
1863,1
1864,0
1865,1
1866,1
1867,0
1868,1
1869,0
1870,1
1871,0
1872,1
1873,1
1874,1
1875,1
1876,1
1877,1
1878,1
1879,0
1880,1
1881,1
1882,1
1883,1
1884,0
1885,1
1886,1
1887,0
1888,0
1889,0
1890,1
1891,1
1892,1
1893,0
1894,0
1895,0
1896,0
1897,1
1898,0
1899,1
1900,0
1901,0
1902,1
1903,0
1904,1
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,1
1912,1
1913,0
1914,1
1915,1
1916,1
1917,0
1918,1
1919,1
1920,1
1921,0
1922,1
1923,0
1924,1
1925,0
1926,0
1927,1
1928,0
1929,0
1930,1
1931,0
1932,0
1933,0
1934,0
1935,1
1936,0
1937,1
1938,0
1939,1
1940,1
1941,1
1942,1
1943,1
1944,0
1945,1
1946,1
1947,1
1948,1
1949,0
1950,1
1951,1
1952,0
1953,1
1954,0
1955,1
1956,1
1957,1
1958,0
1959,0
1960,1
1961,0
1962,1
1963,0
1964,1
1965,1
1966,0
1967,0
1968,0
1969,0
1970,0
1971,1
1972,1
1973,1
1974,1
1975,0
1976,1
1977,1
1978,0
1979,1
1980,1
1981,0
1982,1
1983,1
1984,0
1985,1
1986,0
1987,0
1988,0
1989,0
1990,1
1991,1
1992,0
1993,0
1994,1
1995,0
1996,0
1997,1
1998,1
1999,1
2000,1
2001,1
2002,0
2003,1
2004,0
2005,0
2006,1
2007,1
2008,0
2009,1
2010,1
2011,1
2012,0
2013,0
2014,1
2015,0
2016,0
2017,0
2018,0
2019,1
2020,1
2021,0
2022,0
2023,1
2024,0
2025,0
2026,0
2027,0
2028,1
2029,0
2030,1
2031,1
2032,1
2033,0
2034,1
2035,0
2036,1
2037,1
2038,1
2039,1
2040,0
2041,0
2042,1
2043,1
2044,0
2045,0
2046,0
2047,1
2048,0
2049,0
2050,1
2051,0
2052,1
2053,1
2054,1
2055,0
2056,1
2057,1
2058,0
2059,0
2060,0
2061,0
2062,1
2063,1
2064,0
2065,0
2066,1
2067,0
2068,1
2069,1
2070,1
2071,1
2072,0
2073,1
2074,1
2075,0
2076,0
2077,1
2078,0
2079,1
2080,0
2081,1
2082,1
2083,0
2084,1
2085,1
2086,0
2087,0
2088,0
2089,1
2090,0
2091,1
2092,0
2093,1
2094,1
2095,0
2096,0
2097,0
2098,1
2099,1
2100,0
2101,1
2102,1
2103,1
2104,0
2105,0
2106,0
2107,0
2108,1
2109,1
2110,0
2111,0
2112,1
2113,0
2114,0
2115,0
2116,1
2117,1
2118,0
2119,1
2120,1
2121,0
2122,0
2123,0
2124,1
2125,1
2126,1
2127,0
2128,1
2129,0
2130,1
2131,0
2132,1
2133,1
2134,0
2135,1
2136,0
2137,0
2138,0
2139,0
2140,0
2141,0
2142,0
2143,1
2144,1
2145,0
2146,0
2147,1
2148,1
2149,1
2150,0
2151,0
2152,0
2153,1
2154,0
2155,1
2156,0
2157,0
2158,1
2159,1
2160,1
2161,1
2162,0
2163,0
2164,0
2165,1
2166,0
2167,1
2168,1
2169,0
2170,1
2171,1
2172,0
2173,0
2174,0
2175,0
2176,1
2177,0
2178,0
2179,1
2180,0
2181,0
2182,0
2183,1
2184,0
2185,0
2186,1
2187,0
2188,1
2189,0
2190,0
2191,0
2192,1
2193,1
2194,0
2195,0
2196,0
2197,1
2198,0
2199,0
2200,0
2201,0
2202,0
2203,1
2204,0
2205,1
2206,1
2207,1
2208,1
2209,0
2210,1
2211,0
2212,1
2213,0
2214,1
2215,0
2216,0
2217,0
2218,0
2219,1
2220,1
2221,0
2222,0
2223,0
2224,0
2225,0
2226,0
2227,0
2228,1
2229,0
2230,0
2231,0
2232,0
2233,0
2234,1
2235,1
2236,0
2237,1
2238,0
2239,0
2240,0
2241,1
2242,1
2243,0
2244,0
2245,1
2246,1
2247,1
2248,1
2249,1
2250,0
2251,1
2252,1
2253,0
2254,1
2255,1
2256,1
2257,1
2258,1
2259,0
2260,0
2261,0
2262,1
2263,1
2264,0
2265,1
2266,1
2267,1
2268,1
2269,0
2270,1
2271,1
2272,0
2273,1
2274,0
2275,1
2276,0
2277,0
2278,1
2279,1
2280,1
2281,1
2282,0
2283,1
2284,1
2285,0
2286,0
2287,0
2288,1
2289,0
2290,1
2291,1
2292,0
2293,0
2294,0
2295,1
2296,1
2297,1
2298,1
2299,0
2300,0
2301,0
2302,1
2303,0
2304,1
2305,1
2306,1
2307,1
2308,0
2309,0
2310,1
2311,1
2312,1
2313,1
2314,0
2315,0
2316,0
2317,1
2318,1
2319,1
2320,1
2321,1
2322,1
2323,0
2324,0
2325,1
2326,0
2327,0
2328,1
2329,1
2330,1
2331,0
2332,1
2333,1
2334,0
2335,0
2336,0
2337,1
2338,1
2339,0
2340,1
2341,0
2342,0
2343,1
2344,1
2345,0
2346,0
2347,1
2348,0
2349,1
2350,0
2351,1
2352,0
2353,0
2354,0
2355,1
2356,0
2357,1
2358,1
2359,1
2360,0
2361,1
2362,1
2363,0
2364,0
2365,1
2366,0
2367,1
2368,1
2369,1
2370,1
2371,1
2372,1
2373,1
2374,0
2375,1
2376,1
2377,1
2378,1
2379,0
2380,1
2381,1
2382,1
2383,0
2384,0
2385,1
2386,1
2387,1
2388,0
2389,1
2390,0
2391,0
2392,1
2393,1
2394,1
2395,0
2396,1
2397,1
2398,1
2399,1
2400,0
2401,0
2402,1
2403,1
2404,1
2405,0
2406,1
2407,1
2408,0
2409,0
2410,1
2411,0
2412,0
2413,1
2414,0
2415,1
2416,1
2417,0
2418,0
2419,0
2420,1
2421,0
2422,0
2423,0
2424,0
2425,1
2426,1
2427,0
2428,1
2429,1
2430,1
2431,0
2432,0
2433,1
2434,1
2435,1
2436,1
2437,0
2438,1
2439,1
2440,1
2441,1
2442,0
2443,0
2444,1
2445,1
2446,1
2447,1
2448,0
2449,0
2450,0
2451,1
2452,0
2453,1
2454,1
2455,0
2456,0
2457,0
2458,1
2459,0
2460,1
2461,0
2462,0
2463,0
2464,0
2465,0
2466,1
2467,1
2468,1
2469,0
2470,0
2471,0
2472,0
2473,0
2474,0
2475,1
2476,1
2477,0
2478,1
2479,0
2480,0
2481,1
2482,1
2483,1
2484,0
2485,1
2486,1
2487,1
2488,1
2489,1
2490,0
2491,0
2492,1
2493,1
2494,1
2495,1
2496,1
2497,0
2498,1
2499,0
2500,0
2501,0
2502,0
2503,0
2504,0
2505,1
2506,0
2507,0
2508,0
2509,0
2510,1
2511,1
2512,0
2513,1
2514,1
2515,1
2516,1
2517,0
2518,0
2519,0
2520,1
2521,1
2522,0
2523,0
2524,1
2525,0
2526,1
2527,0
2528,1
2529,0
2530,1
2531,1
2532,0
2533,0
2534,1
2535,1
2536,0
2537,1
2538,1
2539,0
2540,1
2541,1
2542,1
2543,1
2544,1
2545,1
2546,1
2547,1
2548,0
2549,0
2550,1
2551,0
2552,1
2553,1
2554,1
2555,1
2556,1
2557,1
2558,0
2559,1
2560,1
2561,1
2562,1
2563,1
2564,0
2565,1
2566,0
2567,1
2568,0
2569,1
2570,0
2571,0
2572,0
2573,0
2574,1
2575,0
2576,1
2577,1
2578,0
2579,0
2580,0
2581,0
2582,0
2583,1
2584,1
2585,1
2586,1
2587,0
2588,0
2589,1
2590,1
2591,1
2592,0
2593,0
2594,0
2595,0
2596,0
2597,0
2598,1
2599,0
2600,0
2601,1
2602,1
2603,1
2604,1
2605,1
2606,0
2607,0
2608,1
2609,0
2610,1
2611,1
2612,0
2613,0
2614,0
2615,0
2616,0
2617,0
2618,0
2619,0
2620,1
2621,1
2622,1
2623,0
2624,1
2625,1
2626,1
2627,0
2628,1
2629,0
2630,1
2631,1
2632,0
2633,1
2634,1
2635,1
2636,1
2637,1
2638,1
2639,1
2640,0
2641,1
2642,1
2643,1
2644,1
2645,1
2646,1
2647,1
2648,1
2649,1
2650,1
2651,1
2652,1
2653,0
2654,1
2655,1
2656,1
2657,0
2658,0
2659,0
2660,1
2661,0
2662,0
2663,0
2664,0
2665,0
2666,1
2667,1
2668,0
2669,1
2670,0
2671,1
2672,0
2673,1
2674,1
2675,0
2676,1
2677,0
2678,1
2679,1
2680,1
2681,1
2682,1
2683,0
2684,1
2685,0
2686,1
2687,0
2688,1
2689,1
2690,1
2691,1
2692,1
2693,1
2694,1
2695,1
2696,1
2697,0
2698,1
2699,0
2700,0
2701,1
2702,0
2703,1
2704,1
2705,1
2706,0
2707,1
2708,0
2709,0
2710,0
2711,0
2712,1
2713,0
2714,1
2715,0
2716,0
2717,0
2718,1
2719,1
2720,0
2721,1
2722,1
2723,0
2724,0
2725,1
2726,1
2727,0
2728,0
2729,0
2730,0
2731,0
2732,0
2733,0
2734,1
2735,1
2736,0
2737,0
2738,0
2739,0
2740,1
2741,1
2742,0
2743,0
2744,1
2745,0
2746,1
2747,0
2748,0
2749,1
2750,1
2751,0
2752,0
2753,0
2754,0
2755,1
2756,1
2757,1
2758,0
2759,0
2760,1
2761,1
2762,0
2763,0
2764,1
2765,1
2766,0
2767,1
2768,1
2769,1
2770,0
2771,0
2772,0
2773,1
2774,0
2775,1
2776,0
2777,0
2778,0
2779,0
2780,0
2781,1
2782,1
2783,1
2784,0
2785,0
2786,0
2787,0
2788,0
2789,0
2790,1
2791,0
2792,1
2793,0
2794,0
2795,1
2796,0
2797,1
2798,0
2799,1
2800,0
2801,0
2802,0
2803,0
2804,1
2805,0
2806,1
2807,1
2808,1
2809,1
2810,1
2811,0
2812,1
2813,1
2814,0
2815,1
2816,1
2817,0
2818,1
2819,1
2820,1
2821,1
2822,0
2823,1
2824,1
2825,0
2826,0
2827,1
2828,0
2829,0
2830,0
2831,0
2832,1
2833,1
2834,1
2835,1
2836,0
2837,1
2838,0
2839,1
2840,0
2841,0
2842,0
2843,0
2844,1
2845,1
2846,0
2847,1
2848,1
2849,0
2850,1
2851,0
2852,1
2853,1
2854,1
2855,1
2856,0
2857,1
2858,1
2859,0
2860,1
2861,1
2862,0
2863,1
2864,1
2865,0
2866,0
2867,0
2868,0
2869,0
2870,1
2871,1
2872,1
2873,0
2874,0
2875,0
2876,0
2877,0
2878,1
2879,0
2880,1
2881,1
2882,1
2883,0
2884,1
2885,1
2886,1
2887,1
2888,0
2889,0
2890,1
2891,0
2892,1
2893,1
2894,1
2895,0
2896,1
2897,0
2898,0
2899,1
2900,0
2901,0
2902,1
2903,0
2904,0
2905,0
2906,1
2907,1
2908,1
2909,1
2910,1
2911,0
2912,0
2913,1
2914,1
2915,1
2916,1
2917,0
2918,0
2919,1
2920,1
2921,0
2922,0
2923,0
2924,1
2925,1
2926,1
2927,1
2928,0
2929,1
2930,1
2931,0
2932,1
2933,0
2934,1
2935,1
2936,0
2937,0
2938,1
2939,0
2940,1
2941,1
2942,0
2943,0
2944,0
2945,0
2946,0
2947,1
2948,1
2949,1
2950,0
2951,0
2952,1
2953,0
2954,0
2955,0
2956,0
2957,1
2958,0
2959,1
2960,0
2961,0
2962,1
2963,0
2964,0
2965,1
2966,1
2967,1
2968,0
2969,1
2970,1
2971,0
2972,0
2973,1
2974,1
2975,1
2976,0
2977,1
2978,0
2979,0
2980,0
2981,1
2982,1
2983,0
2984,0
2985,1
2986,1
2987,0
2988,1
2989,0
2990,1
2991,1
2992,0
2993,0
2994,0
2995,1
2996,0
2997,1
